Company,Title,Location,Salary
Zillow,"Senior Data Scientist, Rich Media Experiences",Washington State+1 location•Remote,"$127,100 - $203,000 a year"
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Seattle, WA+1 location","Up to $155,700 a year"
NCI Information Systems Inc.,Senior Data Scientist,"Fort Lewis, WA+1 location","From $150,000 a year"
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Seattle, WA•Remote","Up to $112,700 a year"
Zillow,Senior Applied Scientist,Washington State+2 locations•Remote,"$150,200 - $239,900 a year"
iconvergence,Data Science Analyst,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year"
Salesforce,Applied Scientist,"Bellevue, WA 98004 (Downtown area)+1 location","$82,400 a year"
University of Utah,newPS Business Data Analyst Sr,"Salt Lake City, UT 84112 (East Bench area)","$60,700 - $101,649 a year"
Harnham,Senior Data Scientist,"Salt Lake City, UT•Remote","$140,000 - $180,000 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Salt Lake City, UT","$114,700 a year"
US Office of Federal Contract Compliance Programs,newStatistician,"Salt Lake City, UT•Remote","$92,143 - $146,120 a year"
Sorenson Impact Center,Director of Data Science,"Salt Lake City, UT•Temporarily Remote","$90,000 - $120,000 a year"
US Department of Transportation - Agency Wide,Statistician - Direct Hire,"Salt Lake City, UT+1 location","$107,807 - $140,146 a year"
University of Utah,Data Science Post Doctoral Fellow (E),"Salt Lake City, UT 84112 (East Bench area)","$47,000 - $50,000 a year"
US Health Resources and Services Administration,Statistician PD 20R100 - HIV/AIDS Bureau,"Salt Lake City, UT•Temporarily Remote","$79,468 - $103,309 a year"
Harnham,Senior Data Scientist,"Salt Lake City, UT+1 location•Remote","$140,000 - $180,000 a year"
Northrop Grumman,Data Scientist,"Oklahoma City, OK 73135•Remote","$73,500 - $110,300 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Oklahoma City, OK","$114,700 a year"
University of Oklahoma,Head of Web Services and Artificial Intelligence,"Norman, OK 73019+1 location","Up to $80,000 a year"
University of Oklahoma,Head of Web Services and Artificial Intelligence,"Norman, OK 73019","Up to $80,000 a year"
University of Oklahoma,Head of Web Services and Artificial Intelligence/University...,"Norman, OK 73019","$70,000 - $80,000 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Portland, OR","$114,700 a year"
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Hillsboro, OR 97124","$121,800 a year"
SAIC,newData Analyst,"Arnold, MO 63010•Remote","$125,001 - $150,000 a year"
Washington University in St. Louis,Statistical Data Analyst - Psychiatry,"St. Louis, MO+4 locations","$45,800 - $75,900 a year"
Research and Development Service -- VA Saint Louis...,Data Scientist — Biostatistician — Big Data Engineer,"St. Louis, MO 63103","$65,000 - $75,000 a year"
Washington University in St. Louis,Statistical Data Analyst - Biostatistics,"St. Louis, MO+1 location","$45,800 - $75,900 a year"
Washington University in St. Louis,Research Statistician II - Neurology,"St. Louis, MO","$68,200 - $116,600 a year"
